abm-1-to-1|||Execute Strategic ABM (1-to-1) for 5-15 high-value accounts — custom microsites, executive engagement, and more.
abm-1-to-few|||Execute ABM at Scale (1-to-few) for 15-50 clustered accounts — semi-custom campaigns, industry-specific content, persona-based plays.
abm-1-to-many|||Execute Programmatic ABM (1-to-many) for 50-200+ accounts — automated personalization, scaled outbound, lookalike expansion.
abm-strategy|||Design and execute Account-Based Marketing strategy — tier selection, account scoring, and more.
account-selection|||Select and prioritize target accounts for ABM programs — scoring models, tier assignment, TAM segmentation.
multi-thread-orchestration|||Orchestrate multi-threaded ABM engagement across buying committee members — stakeholder mapping, parallel plays, ghost node detection.
strategic-gifting|||Strategic B2B gifting — John Ruhlin Giftology, Sendoso/Alyce/Reachdesk platforms, and more. Use for sending executive gifts.
1p-tagging-pixels|||Set up first-party tracking and analytics — website pixels, conversion tracking, and more. Use for setting up tracking.
a-b-testing|||Design statistically sound GTM experiments for copy, channels, landing pages, sequencing, pricing, and funnel conversion.
attribution|||Build practical B2B attribution models across first touch, lead creation, opportunity creation, multi-touch, account-based influence.
campaign-analytics|||Analyze campaign performance from deliverability through revenue: delivery, engagement, and more.
deliverability-monitoring|||Monitor outbound deliverability health across domains, inboxes, DNS, bounces, spam placement, reply rates, and reputation signals.
event-analytics|||Customer event analytics across every GTM system — Intercom, Zendesk, and more. Covers event taxonomy design, tracking implementation, event-driven workflows.
growth-experimentation|||Build a growth experimentation system — ICE scoring, growth sprints, and more. Use for building an experimentation program.
gtm-metrics|||Build a GTM metrics system for SaaS: funnel conversion, pipeline velocity, and more. Use for creating metrics dashboards.
gtm-system-architecture|||Design a complete GTM operating system — revenue model, data model, and more. Use for designing a GTM system from scratch.
marketing-strategy|||Build complete B2B marketing strategies — channel mix, budget allocation, and more. Use for building a marketing plan.
paid-advertising|||Build and manage paid advertising campaigns across B2B platforms — LinkedIn Ads, Google Ads, and more. Use for launching paid campaigns.
proactive-alerts|||Set up proactive GTM alert systems — CRM pipeline alerts, buying signal notifications, and more. Use for building alert systems.
tracking-plan|||Master analytics tracking plan for PLG and B2B SaaS — unified event taxonomy, pixel strategy (1P and 3P tagging), and more.
ai-sdr-setup|||Deploy AI SDR agents safely and effectively — vendor selection, pilot scope, and more. Use for setting up 11x.
api-enrichment|||Build API-first enrichment pipelines — provider selection, batching, and more. Use for integrating enrichment APIs directly into GTM systems.
attio-setup|||Set up Attio for B2B SaaS GTM — programmable CRM, custom objects, and more. Use for configuring Attio for sales.
clay-automation|||Build production-grade Clay enrichment workflows — table architecture, waterfall configuration, and more. Use for building Clay tables.
crm-integration|||Configure CRM systems for GTM — lifecycle stages, deal stages, and more. Use for setting up HubSpot.
hubspot-setup|||Set up HubSpot for B2B SaaS GTM — CRM configuration, deal pipelines, and more. Use for configuring HubSpot for sales.
mcp-setup|||Configure Model Context Protocol servers for GTM workflows — server selection, tool scope, and more. Use for connecting CRM.
n8n-automation|||Build n8n workflows for GTM automation — triggers, webhook-to-enrichment-to-CRM pipelines, and more. Use for building n8n workflows.
salesforce-setup|||Set up Salesforce for B2B SaaS GTM — object model, opportunity pipelines, and more. Use for configuring Salesforce for sales.
skills-lock|||skills.lock — version locking and integrity tracking for agent skills repositories.
tool-selection-stack|||Build the right GTM tool stack for any stage — solo founder ($100/mo), small team ($500/mo), and more.
waterfall-enrichment|||Design multi-provider enrichment waterfalls — provider ordering by cost-per-hit, 3 separate waterfalls for company, and more.
aeo-strategy|||Answer Engine Optimization — optimize content for AI search engines (ChatGPT, Perplexity, and more.
citation-harvesting|||Systematically build backlinks through citations, mentions, and digital PR — HARO, source-blogger outreach, data-driven PR.
faq-seo|||Build FAQ pages that capture featured snippets and People Also Ask traffic — question-driven content strategy.
pillar-pages|||Design and build pillar pages with topic clusters — comprehensive hub pages that rank for high-intent keywords.
pseo-strategy|||Programmatic SEO — build scalable, template-driven content pages for long-tail keywords.
seo-strategy|||B2B SEO strategy — keyword research, content architecture, and more.
ad-creative-strategy|||Develop ad creative strategy for B2B campaigns — creative formats per platform, testing methodology, and more. Use for creating ad creative.
ai-content-creation|||AI-powered content creation workflows — step-by-step processes for using Claude, ChatGPT, Jasper, Copy.ai, Writesonic, and Perplexity to generate, edit.
ai-video-creation|||AI-powered video creation for marketing — step-by-step workflows for HeyGen (AI spokespersons), Synthesia (AI avatars), and more. Use for creating demo videos.
content-distribution|||Distribute content across channels for maximum reach — multi-platform repurposing, syndication, and more. Use for getting content in front of an audience.
copywriting|||Write marketing copy that converts — landing pages, ads, and more. Use for writing any marketing.
graphic-design-gtm|||Create GTM visual assets — social graphics, ad creatives, and more. Use for creating visual content for GTM.
growth-hacking-tactics|||Tactical growth hacking playbook — rapid experimentation, growth loops, and more. Use for designing growth experiments.
landing-page-copy|||Landing page copywriting strategy — conversion copy frameworks, hero headline patterns, and more. Use for writing.
social-media-strategy|||Build and execute social media strategy for B2B — LinkedIn, X/Twitter, and more. Use for building social presence.
v0-lander|||Step-by-step guide to building GTM landing pages with v0 by Vercel — the AI generative UI platform.
vibe-coding|||AI-powered development for GTM — vibe coding workflows using v0, Jesse, and more. Bolt.new, Replit Agent, and Tempo Labs for rapidly building landing pages.
vibe-marketing|||AI-powered marketing at scale — vibe marketing workflows for rapid content generation, creative iteration, and more.
cs-analytics-dashboards|||Build customer success analytics dashboards — NPS, CSAT, and more. Use for designing CS metrics.
cs-playbooks|||Build customer success playbooks — onboarding, health scoring, and more. Use for building a CS function.
customer-onboarding|||Design structured customer onboarding programs — time-to-value optimization, activation milestones, and more. Use for building customer onboarding.
headless-support|||Design and deploy headless / automated support systems — AI chatbots, Fin AI agents, and more. Use for building self-serve support.
qbr-planning|||Plan and execute Quarterly Business Reviews — value documentation, ROI presentation, and more. Use for preparing for QBRs.
sla-management|||Design and manage customer support SLAs — service level agreements, ticket priority matrices, and more. Use for defining support SLAs.
support-tool-stack|||Customer support platform selection, setup, and optimization — Intercom, Zendesk, and more. Use for choosing a support platform.
content-syndication|||Plan and execute content syndication across paid and organic channels — content atomization using Ross Simmonds' distribution framework.
paid-social-strategy|||B2B paid social strategy — LinkedIn, Meta, and more.
podcast-gtm|||Use podcast appearances as a GTM channel — booking strategy, interview prep, and more.
webinar-strategy|||Plan and execute demand gen webinars — topic selection, speaker sourcing, and more.
battlecard-builder|||Create competitive battlecards — FIA Framework (Fact → Impact → Act), Why We Win/Why We Lose, and more. Use for building competitive intelligence.
case-study-builder|||Create customer case studies in sales-ready format — Challenge→Solution→Results structure, before/after metrics, and more. Use for creating case studies.
design-system-gtm|||Define brand-context for AI agents — visual identity systems, voice/tone guides, and more. Use for creating a design system for AI-generated GTM content.
one-pager-builder|||Create one-page sales documents — product overviews, meeting leave-behinds, and more. Scannable in 30 seconds, memorable enough to forward.
pitch-deck-builder|||Build investor-ready pitch decks and sales presentations — 10-11 slide structure, persona-customized per role, and more. Use for creating pitch decks.
roi-calculator|||Build ROI calculators and business cases — 3-scenario projections (conservative, moderate, and more. Use for building ROI models.
ui-ux-gtm|||Design GTM UI/UX patterns — landing pages (hero, proof, and more. 2.1 AA). Use for designing.
conference-strategy|||Strategic conference planning — event selection, sponsorship ROI, and more.
event-driven-outreach|||Outbound sequences triggered by conference/event attendance — pre-event research, on-site plays, post-event follow-up.
field-marketing|||Plan and execute field marketing — regional events, executive dinners, and more.
buyer-psychology|||Apply decision science and buyer psychology to GTM — transparency effect (4.2-4.5), Cialdini principles, prediction over persuasion, trust mechanics.
competitive-intel|||Research competitors and turn findings into GTM assets: positioning map, win/loss themes, and more. Use for evaluating a competitor.
gtm-context|||Capture reusable GTM context for every other skill: product, ICP, and more. Use for starting a project.
icp-scoring|||Score and tier ICP-fit accounts using firmographic, technographic, intent, pain, and timing signals.
icp-targeting-tiers|||Define ICP differences across small business, mid-market, and enterprise — buying process, deal size, and more. Use for segmenting GTM by company size.
positioning-messaging|||Build positioning and messaging from category, ICP, alternatives, differentiated value, proof, and buyer language.
pricing-strategy|||Design SaaS pricing strategy using willingness-to-pay research, packaging, value metrics, competitive anchors, and expansion paths.
using-gtm-skills|||Guide to the gtm-skills repository: installation, skill discovery, invocation, output interpretation. Use when getting started with the GTM catalog.
advisor-recruitment|||Strategic advisor recruitment for B2B SaaS founders. Use for building advisory board.
board-meeting-prep|||Board meeting preparation for B2B SaaS founders. Use for preparing quarterly board meetings.
brand-kit|||Build a complete brand kit for B2B SaaS — logo design and usage, color palette, and more. Use for creating a brand from scratch.
building-saas|||Build a SaaS company from idea to scale — product development, architecture decisions, and more. Use for starting a SaaS.
business-insurance|||Complete business insurance guide for SaaS founders — Errors & Omissions (E&O/Tech E&O), Cyber Liability, and more.
co-founder-dynamics|||Complete co-founder playbook for technical founders — finding co-founders, equity splits (dynamic and static), and more. Use for looking for a co-founder.
content-led-growth|||Content-led growth strategy for B2B SaaS founders. Use for building a founder-led content engine.
data-privacy-compliance|||Data privacy compliance for B2B SaaS — GDPR, CCPA/CPRA, and more. Covers step-by-step compliance roadmap, privacy tech stack, and when to hire a DPO.
employment-compliance|||Employment law and compliance for B2B SaaS founders — contractor vs employee classification, offer letters, and more. Use for hiring first employees.
engineer-to-founder|||Translate engineering strengths into founder-led GTM: customer discovery, positioning, and more. Use for a technical founder needs to sell.
equity-management|||Complete equity management for SaaS founders — cap tables, 409A valuations, and more. Use for setting up equity.
events-planning|||Plan and execute B2B events — conferences, webinars, and more. Use for planning any business event to generate pipeline.
exiting-company|||Prepare a SaaS company for acquisition or exit — valuation drivers by buyer type (strategic, PE, and more. Use for planning an exit.
financial-modeling|||SaaS financial modeling for founders — operating model, runway, and more. Use for building financial model.
first-hires-playbook|||Complete playbook for founder's first 10 hires beyond sales. Use for hiring first engineer.
founder-brand|||Build a founder personal brand — LinkedIn strategy, content cadence, and more. Includes Adam Robinson's (RB2B) founder-led LinkedIn playbook: daily posting.
founder-comp-playbook|||Founder guide to GTM compensation — what you can afford, how to set OTE and equity, and more.
founder-sales|||Founder-led sales playbook for $0-5M ARR stages. Use for founder is primary seller.
fundraising-strategy|||Complete fundraising strategy for B2B SaaS founders. Use for preparing to raise seed/Series A.
gtm-recruiting|||GTM recruiting playbook — active sourcing, passive candidate outreach, and more. Use for recruiting SDR/AE/CS/leaders.
gtm-role-descriptions|||GTM job descriptions and org structure: role-by-role JD templates, revenue org charts by ARR stage, OTE/quota plans. Use when writing a JD or designing a revenue org.
hiring-agencies|||Evaluate, hire, and manage GTM agencies — outbound, RevOps/Clay, and more. Agency vs in-house decision framework, pilot structure, scorecards, kill switches.
hiring-by-role|||Role-specific hiring guides for B2B SaaS — interview questions, evaluation criteria, and more.
hiring-contractors|||Hire and manage contractors for SaaS startups — where to find them, how to structure engagements, and more. Use for hiring freelance developers.
investor-updates|||Write investor updates that build confidence and surface help — monthly format, board deck structure, and more. Use for writing investor updates.
job-posting-strategy|||Complete job posting and distribution strategy for B2B SaaS companies — where to post by role (engineering, sales, and more.
launch-planning|||Plan product and feature launches across owned, earned, community, partner, and outbound channels.
lead-magnets|||Create lead magnets that convert qualified buyers: calculators, checklists, and more.
legal-for-founders|||Complete legal playbook for SaaS founders — incorporation (Delaware C-Corp vs LLC), IP assignment, and more.
partner-programs|||Design partner programs for startups: partner ICP, co-marketing offers, and more. Use for building affiliates.
pricing-psychology|||SaaS pricing psychology and tactics for B2B founders. Use for designing pricing tiers.
saas-metrics-calculator|||Calculate and interpret SaaS metrics for founders: MRR, ARR, and more. Use for building investor updates.
saas-outcomes|||SaaS company outcomes — valuation methods, bootstrap vs VC paths, and more. Use for choosing bootstrap vs raise.
sales-team-building|||Build a B2B sales team from first hire to scale — hiring sequence by ARR stage, WbD POD structures, and more. Use for planning first sales hire.
security-assessments|||Security assessment and vendor risk management for B2B SaaS — penetration testing, vulnerability scanning, and more.
soc2-compliance|||Achieve SOC2 Type II compliance for SaaS companies — readiness assessment, control implementation, and more. Use for preparing for SOC2.
solo-founder-gtm|||Build lean GTM as a solo founder or bootstrapper — tool stacks by revenue stage, AI agents replacing headcount, and more.
startup-communities|||Use startup communities as a GTM channel without spamming: community selection, trust-building, and more. Use for entering founder communities.
vc-outreach|||Plan investor outreach for startups: target investor list, warm intro paths, and more. Use for raising a round.
vendor-contracts|||Vendor contracts, MSAs, DPAs, and procurement for B2B SaaS — master service agreements, service level agreements, and more.
yc-ecosystem|||Navigate the public YC ecosystem for founder GTM: company research, batch mapping, and more. Use for researching YC companies.
churn-prevention|||Build churn prevention systems — early warning signal detection, customer health scoring, and more. Use for reducing churn.
customer-marketing|||Customer marketing and advocacy programs — case studies, testimonials, and more. Use for building customer marketing.
expansion-selling|||Complete expansion and upsell playbook for B2B SaaS — consumption-based upsell triggers, cross-sell identification, and more.
referral-programs|||Design customer and partner referral programs — 3-tier comp structure, double-sided incentive design, and more. Use for building a referral program.
review-platforms|||B2B review site strategy — G2, Capterra, and more. How to collect reviews, respond to negative feedback, rank in categories.
campaign-governance|||Establish campaign governance — naming conventions, UTM parameters, and more.
gtm-operations|||Build a GTM operations / RevOps function — tech stack architecture, process design, and more. Use for designing.
gtm-spend-management|||GTM spend management — Ramp corporate cards, virtual cards per vendor, and more. Use for setting up Ramp.
gtm-tool-cost-model|||GTM tool cost modeling — per-seat licensing, usage-based fees, and more. Use for budgeting GTM tools.
revops-tech-stack|||Design, audit, and consolidate the RevOps technology stack — CRM, enrichment, and more. Use for auditing GTM tools.
content-marketing|||Build content marketing strategies that generate pipeline — SEO/AEO optimization, pillar page design, and more. Use for plan content strategy.
inbound-triage|||Design inbound lead triage workflows — demo form qualification, MQL to SQL routing, and more. Use for handle inbound leads.
landing-pages|||Audit and optimize landing pages for conversion — hero/offer/proof/CTA patterns, CRO audits, and more. Use for improve conversion rates.
linkedin-algorithm|||Optimize LinkedIn organic reach: interest graph mechanics, format rankings, post anatomy, dwell time, golden-hour engagement. Use when posts underperform.
linkedin-live-strategy|||Launch and scale B2B LinkedIn Live— weekly livestream shows, conversation-first content engines, and more.
sales-navigator-prospecting|||Run LinkedIn Sales Navigator prospecting using Morgan J. Ingram's AMP playbook — high-intent filters, filter-specific messaging, and more.
social-selling|||Build a LinkedIn social selling strategy — Sales Navigator, DM sequences, and more. Use for sell on LinkedIn.
website-visitor-identification|||Design website visitor identification and deanonymization programs — company vs person-level ID, vendor selection (Clearbit/Breeze, and more.
leadmagic-bulk-enrichment|||Process CSV files with LeadMagic at scale — input cleanup, batch sizing, and more. Use for enriching a list.
leadmagic-cli|||Use the LeadMagic CLI for enrichment automation — find emails, validate contacts, and more. Use for automating enrichment from the command line.
leadmagic-integrations|||Integrate LeadMagic with GTM platforms — Clay, Apollo, and more. Bi-directional data flows, webhook enrichment, CRM automation.
leadmagic-job-change|||Use LeadMagic job-change signals for pipeline intelligence — champion tracking, account risk alerts, and more. Use for monitoring career moves.
leadmagic-mcp|||Set up LeadMagic MCP for AI agents — tool discovery, permission scope, and more. Use for connecting LeadMagic data tools to Claude.
leadmagic-waterfall|||Build Clay enrichment waterfalls with LeadMagic as the primary provider — 95%+ email coverage, multi-provider chaining, and more.
churn-prediction|||Build churn prediction models — leading indicators, risk scoring, and more.
lifecycle-drips|||Design lifecycle drip campaigns — post-purchase, renewal, and more.
mql-nurture|||Build MQL nurture programs — lead scoring, nurture tracks, and more.
onboarding-sequences|||Design customer onboarding sequences — time-to-first-value, activation milestones, and more.
re-engagement|||Design re-engagement campaigns for dormant leads and inactive customers — win-back sequences, reactivation offers, sunset policies.
executive-compensation|||Canonical GTM compensation strategy: role-by-role plans, OTE design, accelerators, SPIFs, executive gates. Use when designing comp plans or VP/CRO offers.
gtm-leadership|||GTM leadership playbook: hiring/firing sales talent, difficult conversations, SaaS comp strategy. Use when firing a rep or evaluating a VP/CRO hire.
revenue-team-onboarding|||Revenue team onboarding — security access provisioning, ramp schedules, and more. Use for onboarding SDRs.
sales-coaching|||Sales coaching system — REKS diagnosis (Jacco van der Kooij / Winning by Design), MEDDICC deal reviews (Andy Whyte), and more.
team-management|||Team management for startup leaders — 1:1s, performance reviews, and more. Use for building team processes.
cold-calling|||Build B2B cold calling programs: phone intent scoring, disposition bucketing, multi-touch cadences, conversion. Use when setting up phone outreach.
cold-email-copywriting|||Write high-converting cold email copy via a 3-line framework, proven subject lines, and persona variants. Use when writing or critiquing cold email copy.
cold-email-strategy|||Design cold email sequence architecture: cadence timing, channel mixing, trigger-based logic. Use when building or optimizing an outreach sequence.
domain-infrastructure|||Provision cold email infrastructure: secondary domains, DNS auth, inbox rotation, primary-domain isolation. Use when setting up sending domains.
email-deliverability|||Set up and monitor email deliverability: SPF/DKIM/DMARC, warmup, reputation monitoring, bounce handling. Use when troubleshooting spam placement.
inbox-setup|||Set up cold email inbox infrastructure: Google Workspace, Microsoft 365, Azure/Entra provisioning, DNS auth, warmup. Use when building sending capacity.
multi-channel-outreach|||Design and execute multi-channel outbound sequences across email, LinkedIn, cold calls, and SMS. Use for coordinate outreach across channels.
reply-handling|||Classifies and automates responses to cold email replies using an 8-category taxonomy, auto-reply playbooks, and human escalation rules.
sending-platforms|||Compares, selects, and configures cold email sending platforms: Smartlead, Instantly, and more. Use for which sending platform to use.
co-marketing|||Execute co-marketing campaigns with partners — joint webinars, co-branded content, and more.
integration-partnerships|||Build and go-to-market with technology integration partnerships — API/integration GTM, marketplace listing, co-selling.
partnership-strategy|||Build a partnership program — partner types, recruitment, and more.
developer-gtm|||Build a developer GTM motion (Vercel/Stripe style): open-source flywheel, docs as funnel, transparent pricing, DevRel distribution. Use for dev tools or API products.
freemium-optimization|||Freemium and free trial conversion optimization — model selection with full-funnel math, activation design, and more. Use for optimizing freemium conversion.
plg-strategy|||Design product-led growth motions — freemium vs free trial, PQL scoring, and more. Use for building a PLG motion.
contact-verification|||Verify email addresses before they enter outbound sequences to prevent bounces and protect sender reputation. Use for validate emails.
data-enrichment-strategy|||Design an end-to-end B2B data enrichment architecture — provider selection, waterfall design, and more. Use for evaluate enrichment providers.
email-finding|||Find verified work email addresses for B2B contacts using multi-provider waterfall discovery. Use for find emails.
lead-enrichment|||Enrich prospect and account lists with company, contact, role, technographic, intent, funding, hiring, and confidence fields.
lead-finding|||Find qualified prospects and decision-makers from ICP criteria using public research, company signals, role mapping, and source confidence.
list-building|||Build qualified B2B prospect lists using Clay, LinkedIn Sales Navigator, and multi-source discovery. Use for build a prospect list.
signal-scoring|||Score and prioritize prospects using buying signals — hiring, funding, and more. Use for score leads.
social-intent-monitoring|||Build social intent monitoring that turns public conversations into outbound triggers. Use for detecting buying signals on LinkedIn, X, or Reddit.
earnings-signal-play|||Outbound play triggered by public company earnings calls and SEC filings — strategic priority mining from 10-K/10-Q sections.
funding-signal-play|||Trigger-based outbound play when a target account raises funding — signal stacking to cut false positives, use-of-funds alignment messaging, and more.
hiring-signal-play|||Outbound play triggered by specific hiring signals — VP Sales, RevOps, and more.
job-change-play|||Outbound play triggered by contact job changes — champion tracking, new-role outreach, "new broom" timing.
product-launch-play|||Outbound play triggered by competitor product launches or target account product launches — timing-based urgency, competitive positioning.
buyer-indecision|||Overcome buyer indecision with the JOLT Effect — Judge indecision, Offer recommendation, and more.
deal-desk|||Structure deals, pricing, and proposals — pricing model selection, discount guidance, and more. Use for structuring a deal.
demo-scripts|||Write compelling demo scripts — first demo, technical deep-dive, and executive overview. Scene-by-scene with timing, talk tracks, and interaction points.
meeting-prep|||Prepare meeting briefs with SPICED discovery (WbD) and MEDDICC qualification (Andy Whyte) — account research, attendee profiles, and more.
objection-handling|||Build comprehensive objection handling playbooks — 6-category taxonomy, AER framework, and more. Use for creating objection responses.
pipeline-management|||Design and manage B2B sales processes: stage goals, exit criteria, SPICED qualification, forecasting, deal inspection. Use when designing sales stages.
sales-enablement|||Create sales collateral that reps actually use — pitch decks, one-pagers, and more. Use for create sales materials.
transparency-selling|||Execute Todd Caponi's Transparency Sale methodology — lead with flaws, build the "Our Flaws" slide, and more. 4.2-4.5 effect in positioning.
ai-prompts-toolkit|||GTM AI prompt library and prompt-loop patterns — Claygent research, LLM scoring, and more. Use for writing Clay AI prompts.
analytics-toolkit|||Complete analytics tools toolkit — Segment CDP, Amplitude, and more. Covers implementation patterns, destination routing, event governance.
clay-loops-toolkit|||Clay Loops GTM toolkit — recurring signal monitors, trigger-to-action loops, and more. Use for building Clay Loops for outbound triggers.
clay-toolkit|||Clay platform GTM toolkit — table architecture, LeadMagic-first waterfall enrichment, and more. Use for building Clay tables.
crm-toolkit|||CRM operations anchor — HubSpot, Salesforce, and more. Use for choosing a CRM.
hubspot-sequences|||Design and optimize HubSpot sequences — enrollment triggers, multi-channel steps, and more.
instantly-sequences|||Set up Instantly — unlimited accounts, warmup pool, and more.
leadmagic-toolkit|||Complete LeadMagic platform toolkit — API reference, CLI workflows, and more. Use for building LeadMagic-powered GTM infrastructure.
lemlist-setup|||Set up and optimize Lemlist — personalized images/videos, multi-channel sequences, and more.
n8n-toolkit|||Complete n8n GTM toolkit — workflow blueprints for inbound, outbound, and more. Use for building n8n flows for GTM.
outreach-sequences|||Design and manage Outreach sequences — multi-channel cadences, triggers, and more.
salesloft-cadences|||Build and optimize Salesloft cadences — Rhythm, Conversations, and more.
sequencing-toolkit|||Complete outreach sequencing toolkit — Smartlead, Instantly, and more. Covers mailbox rotation, warmup, A/B testing, deliverability monitoring.
smartlead-workflows|||Set up and run Smartlead — unlimited mailboxes, auto-rotation, and more.
support-toolkit|||Complete customer support tools toolkit — Intercom, Zendesk, and more. Use for selecting.
